2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | ====================================================================================================
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | ====================================================================================================
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | ====================================================================================================
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | ====================================================================================================
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:55 | INFO     | politician_location_dashboard  | 
2026-01-14 15:08:59 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:08:59 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:08:59 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:08:59 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:08:59 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:00 | INFO     | volunteer_location_stream      | 
2026-01-14 15:09:00 | INFO     | volunteer_location_stream      | 
2026-01-14 15:09:00 | INFO     | volunteer_location_stream      | 
2026-01-14 15:09:00 | INFO     | volunteer_location_stream      | 
2026-01-14 15:09:00 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:00 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:00 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:00 | INFO     | broadcast_location_to_politician | ================================================================================
